0	1	2
1	18	4
1	246	5
1	6	5
1	243	1
1	227	4
1	184	4
1	69	3
1	147	3
1	232	3
1	70	3
1	91	5
1	234	4
1	124	5
1	271	2
1	179	3
1	148	2
1	11	2
1	130	3
1	20	4
1	181	5
1	111	5
1	58	4
1	262	3
1	140	1
1	218	3
1	217	3
1	118	3
1	56	4
1	10	3
1	164	3
1	171	5
1	213	2
1	173	5
1	45	5
1	81	5
1	29	1
1	242	5
1	233	2
1	16	5
1	216	5
1	222	4
1	83	3
1	125	3
1	220	3
1	191	5
1	39	4
1	154	5
1	33	4
1	109	5
1	131	1
1	150	5
1	160	4
1	28	4
1	240	3
1	4	3
1	144	4
1	73	3
1	62	3
1	137	5
1	237	2
1	115	5
1	12	5
1	40	3
1	162	4
1	27	2
1	203	4
1	244	2
1	122	3
1	212	4
1	50	5
1	167	2
1	79	4
1	134	4
1	211	3
1	13	5
1	248	4
1	245	2
1	87	5
1	63	2
1	141	3
1	102	2
1	8	1
1	133	4
1	195	5
1	52	4
1	201	3
1	202	5
1	266	1
1	67	3
1	215	3
1	48	5
1	209	4
1	19	5
1	194	4
1	26	3
1	72	4
1	105	2
1	263	1
1	57	5
1	235	5
1	188	3
1	21	1
1	146	4
1	68	4
1	145	2
1	97	3
1	152	5
1	38	3
1	34	2
1	238	4
1	186	4
1	269	5
1	254	1
1	31	3
1	229	4
1	256	4
1	239	4
1	128	4
1	93	5
1	259	1
1	226	3
1	71	3
1	223	5
1	255	2
1	106	4
1	224	5
1	2	3
1	47	4
1	189	3
1	200	3
1	121	4
1	23	4
1	257	4
1	92	3
1	170	5
1	44	5
1	107	4
1	178	5
1	253	5
1	120	1
1	14	5
1	1	5
1	180	3
1	231	1
1	61	4
1	36	2
1	108	5
1	250	4
1	7	4
1	251	4
1	59	5
1	138	1
1	135	4
1	206	4
1	99	3
1	132	4
1	177	5
1	225	2
1	96	5
1	143	1
1	86	5
1	214	4
1	15	5
1	78	1
1	219	1
1	94	2
1	3	4
1	104	1
1	35	1
1	22	4
1	43	4
1	151	4
1	100	5
1	65	4
1	197	5
1	119	5
1	230	4
1	9	5
1	156	4
1	41	2
1	258	5
1	64	5
1	88	4
1	84	4
1	174	5
1	25	4
1	265	4
1	46	4
1	74	1
1	127	5
2	273	4
2	258	3
2	237	4
2	290	3
2	286	4
2	25	4
2	293	4
2	287	3
2	242	5
2	304	4
2	314	1
2	303	4
2	306	4
2	19	3
2	272	5
2	276	4
2	295	4
2	299	4
2	308	3
2	279	4
2	280	3
2	100	5
2	292	4
2	281	3
2	296	3
2	302	5
2	291	3
2	307	3
2	294	1
2	275	5
2	289	3
2	269	4
2	278	3
2	13	4
2	1	4
2	301	4
2	127	5
2	14	4
2	300	4
2	310	4
2	284	4
2	309	1
2	316	5
3	264	2
3	334	3
3	320	5
3	331	4
3	318	4
3	336	1
3	348	4
3	344	4
3	347	5
3	307	3
3	245	1
3	258	2
3	351	3
3	329	4
3	268	3
3	333	2
3	323	2
3	271	3
3	350	3
3	325	1
3	328	5
3	324	2
3	335	1
3	300	2
3	339	3
3	343	3
3	342	4
3	340	5
3	322	3
3	345	3
3	355	3
3	302	2
3	354	3
3	346	5
3	288	2
3	260	4
3	337	1
4	11	4
4	324	5
4	210	3
4	354	5
4	300	5
4	50	5
4	271	4
4	361	5
4	362	5
4	288	4
4	356	3
4	359	5
4	260	4
4	360	5
4	357	4
4	327	5
5	437	1
5	382	5
5	145	1
5	384	3
5	402	1
5	422	4
5	69	1
5	66	1
5	89	5
5	429	3
5	401	5
5	397	2
5	376	2
5	385	4
5	226	3
5	417	3
5	153	5
5	412	3
5	424	1
5	387	3
5	440	1
5	378	1
5	139	3
5	363	3
5	228	5
5	375	3
5	435	4
5	222	4
5	400	1
5	110	1
5	239	4
5	399	3
5	194	4
5	389	1
5	418	3
5	383	3
5	211	4
5	259	1
5	443	4
5	154	3
5	372	3
5	427	3
5	444	2
5	425	2
5	377	1
5	208	4
5	229	2
5	225	2
5	151	3
5	411	1
5	374	3
5	40	4
5	189	5
5	98	3
5	448	2
5	234	2
5	200	2
5	105	3
5	95	4
5	365	1
5	388	2
5	410	1
5	250	3
5	409	2
5	42	5
5	80	2
5	1	4
5	434	5
5	102	3
5	144	3
5	428	5
5	370	1
5	391	4
5	257	5
5	29	4
5	231	2
5	408	5
5	393	2
5	456	1
5	168	3
5	392	2
5	450	1
5	367	3
5	436	5
5	185	3
5	398	2
5	447	3
5	379	3
5	90	3
5	21	3
5	364	1
5	121	4
5	100	5
5	406	1
5	63	1
5	233	4
5	169	5
5	135	4
5	235	4
5	421	1
5	404	2
5	79	3
5	243	1
5	453	1
5	432	4
5	216	1
5	442	1
5	167	2
5	431	3
5	395	2
5	172	5
5	70	4
5	186	5
5	368	1
5	426	3
5	430	5
5	380	3
5	394	2
5	204	4
5	381	1
5	457	1
5	366	3
6	321	3
6	187	4
6	309	2
6	204	3
6	143	2
6	462	5
6	136	5
6	461	4
6	486	4
6	192	4
6	492	5
6	154	3
6	517	4
6	185	5
6	134	5
6	527	4
6	469	5
6	286	2
6	499	4
6	261	3
6	515	4
6	306	4
6	259	1
6	188	3
6	502	4
6	151	3
6	523	5
6	534	4
6	512	4
6	268	3
6	19	4
6	480	4
6	276	2
6	194	4
6	470	3
6	165	5
6	15	3
6	304	4
6	124	5
6	419	4
6	477	1
6	491	4
6	132	5
6	178	4
6	153	4
6	484	5
6	427	4
6	526	3
6	275	4
6	117	2
6	301	2
6	340	2
6	532	3
6	213	4
6	472	1
6	223	4
6	186	4
6	473	2
6	193	3
6	497	4
6	357	4
6	32	4
6	56	4
6	496	4
6	435	4
6	81	4
6	460	2
6	466	4
6	89	4
6	487	5
6	69	3
6	272	4
6	483	5
6	182	4
6	242	4
6	509	4
6	200	3
6	21	3
6	505	4
6	177	4
6	174	4
6	302	4
6	490	5
6	28	2
6	494	4
6	503	3
6	521	4
6	14	5
6	529	4
6	195	4
6	539	2
6	533	4
6	199	4
6	303	3
6	86	3
6	310	2
6	221	4
6	507	4
6	202	3
6	211	5
6	197	5
6	131	5
6	410	4
6	493	5
6	248	3
6	485	5
6	317	3
6	482	4
6	513	4
6	183	4
6	238	5
6	180	4
6	538	2
6	189	3
6	476	1
6	64	4
6	498	4
6	537	4
6	70	3
6	47	3
6	318	4
6	216	5
6	175	4
6	79	3
6	1	4
6	169	4
6	511	5
6	22	3
6	284	2
6	459	2
6	246	3
6	125	3
6	87	4
6	100	5
6	269	4
6	423	3
6	297	3
6	467	4
6	23	4
6	479	5
6	478	4
6	519	5
6	8	4
6	285	3
6	506	4
6	468	3
6	408	4
7	176	3
7	440	1
7	576	5
7	419	3
7	80	4
7	32	4
7	553	3
7	680	4
7	357	5
7	598	3
7	501	5
7	537	3
7	68	4
7	177	4
7	96	5
7	223	5
7	666	4
7	118	2
7	228	4
7	404	5
7	175	5
7	201	2
7	334	5
7	168	5
7	307	5
7	402	5
7	285	5
7	126	3
7	567	1
7	441	2
7	163	4
7	521	5
7	171	3
7	208	5
7	620	4
7	139	3
7	29	3
7	653	4
7	527	5
7	318	5
7	387	3
7	156	5
7	556	3
7	575	3
7	384	3
7	99	5
7	273	3
7	186	4
7	234	5
7	618	4
7	135	5
7	121	5
7	485	5
7	259	3
7	543	3
7	625	3
7	444	5
7	98	4
7	483	4
7	44	5
7	544	3
7	127	5
7	226	5
7	645	4
7	264	4
7	589	5
7	430	3
7	434	4
7	196	5
7	418	4
7	647	5
7	617	5
7	640	3
7	174	5
7	498	5
7	382	4
7	423	5
7	393	4
7	294	1
7	86	4
7	341	3
7	8	5
7	79	4
7	281	3
7	652	3
7	657	4
7	145	1
7	27	4
7	427	5
7	386	4
7	47	5
7	511	5
7	22	5
7	180	5
7	25	3
7	173	5
