,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations,,Value,,,,,,,,,NmrRecommendations,Precision,Recall,,NmrNeighbors,Precision,Recall,,NmrRecommendations,NmrNeighbors,Zeroed,,,NmrNeighbors,NmrRecommendations
0,0.1,0,848,2,1,,,700,0.3,0.01,663,30,1,,,1,0.1,0,,2,0.1,0,,1,2,848,,0,2,1
1,0.09,0.01,725,2,3,,,,,,,,,,,3,0.09,0.01,,2,0.09,0.01,,3,2,725,,1,2,3
2,0.09,0.02,635,2,5,,,,,,,,,,,5,0.09,0.02,,2,0.09,0.02,,5,2,635,,2,2,5
3,0.1,0.03,547,2,7,,,,,,,,,,,7,0.1,0.03,,2,0.1,0.03,,7,2,547,,3,2,7
4,0.1,0.03,485,2,9,,,,,,,,,,,9,0.1,0.03,,2,0.1,0.03,,9,2,485,,4,2,9
5,0.1,0.04,453,2,11,,,,,,,,,,,11,0.1,0.04,,2,0.1,0.04,,11,2,453,,5,2,11
6,0.1,0.04,434,2,13,,,,,,,,,,,13,0.1,0.04,,2,0.1,0.04,,13,2,434,,6,2,13
7,0.1,0.04,428,2,15,,,,,,,,,,,15,0.1,0.04,,2,0.1,0.04,,15,2,428,,7,2,15
8,0.1,0.05,403,2,17,,,,,,,,,,,17,0.1,0.05,,2,0.1,0.05,,17,2,403,,8,2,17
9,0.1,0.05,380,2,19,,,,,,,,,,,19,0.1,0.05,,2,0.1,0.05,,19,2,380,,9,2,19
10,0.1,0.05,378,2,21,,,,,,,,,,,21,0.1,0.05,,2,0.1,0.05,,21,2,378,,10,2,21
11,0.1,0.06,357,2,23,,,,,,,,,,,23,0.1,0.06,,2,0.1,0.06,,23,2,357,,11,2,23
12,0.1,0.06,343,2,25,,,,,,,,,,,25,0.1,0.06,,2,0.1,0.06,,25,2,343,,12,2,25
13,0.1,0.06,329,2,27,,,,,,,,,,,27,0.1,0.06,,2,0.1,0.06,,27,2,329,,13,2,27
14,0.1,0.07,322,2,29,,,,,,,,,,,29,0.1,0.07,,2,0.1,0.07,,29,2,322,,14,2,29
15,0.1,0.07,326,2,31,,,,,,,,,,,31,0.1,0.07,,2,0.1,0.07,,31,2,326,,15,2,31
16,0.09,0.07,327,2,33,,,,,,,,,,,33,0.09,0.07,,2,0.09,0.07,,33,2,327,,16,2,33
17,0.09,0.07,327,2,35,,,,,,,,,,,35,0.09,0.07,,2,0.09,0.07,,35,2,327,,17,2,35
18,0.09,0.07,317,2,37,,,,,,,,,,,37,0.09,0.07,,2,0.09,0.07,,37,2,317,,18,2,37
19,0.09,0.08,306,2,39,,,,,,,,,,,39,0.09,0.08,,2,0.09,0.08,,39,2,306,,19,2,39
20,0.09,0.08,303,2,41,,,,,,,,,,,41,0.09,0.08,,2,0.09,0.08,,41,2,303,,20,2,41
21,0.09,0.08,299,2,43,,,,,,,,,,,43,0.09,0.08,,2,0.09,0.08,,43,2,299,,21,2,43
22,0.09,0.08,289,2,45,,,,,,,,,,,45,0.09,0.08,,2,0.09,0.08,,45,2,289,,22,2,45
23,0.09,0.08,286,2,47,,,,,,,,,,,47,0.09,0.08,,2,0.09,0.08,,47,2,286,,23,2,47
24,0.09,0.08,280,2,49,,,,,,,,,,,49,0.09,0.08,,2,0.09,0.08,,49,2,280,,24,2,49
25,0.09,0.09,277,2,51,,,,,,,,,,,51,0.09,0.09,,2,0.09,0.09,,51,2,277,,25,2,51
26,0.09,0.09,272,2,53,,,,,,,,,,,53,0.09,0.09,,2,0.09,0.09,,53,2,272,,26,2,53
27,0.09,0.09,267,2,55,,,,,,,,,,,55,0.09,0.09,,2,0.09,0.09,,55,2,267,,27,2,55
