,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
0,0.1,0,848,2,1
1,0.09,0.01,725,2,3
2,0.09,0.02,635,2,5
3,0.1,0.03,547,2,7
4,0.1,0.03,485,2,9
5,0.1,0.04,453,2,11
6,0.1,0.04,434,2,13
7,0.1,0.04,428,2,15
8,0.1,0.05,403,2,17
9,0.1,0.05,380,2,19
10,0.1,0.05,378,2,21
11,0.1,0.06,357,2,23
12,0.1,0.06,343,2,25
13,0.1,0.06,329,2,27
14,0.1,0.07,322,2,29
15,0.1,0.07,326,2,31
16,0.09,0.07,327,2,33
17,0.09,0.07,327,2,35
18,0.09,0.07,317,2,37
19,0.09,0.08,306,2,39
20,0.09,0.08,303,2,41
21,0.09,0.08,299,2,43
22,0.09,0.08,289,2,45
23,0.09,0.08,286,2,47
24,0.09,0.08,280,2,49
25,0.09,0.09,277,2,51
26,0.09,0.09,272,2,53
27,0.09,0.09,267,2,55
28,0.09,0.09,260,2,57
29,0.09,0.09,261,2,59
30,0.09,0.1,260,2,61
31,0.09,0.1,256,2,63
32,0.09,0.1,256,2,65
33,0.09,0.1,254,2,67
34,0.09,0.1,249,2,69
35,0.09,0.1,257,2,71
36,0.09,0.1,254,2,73
37,0.09,0.1,254,2,75
38,0.09,0.1,251,2,77
39,0.09,0.1,259,2,79
40,0.09,0.1,257,2,81
41,0.09,0.1,254,2,83
42,0.09,0.1,256,2,85
43,0.09,0.1,260,2,87
44,0.09,0.1,256,2,89
45,0.09,0.1,256,2,91
46,0.09,0.1,256,2,93
47,0.09,0.1,259,2,95
48,0.09,0.1,259,2,97
49,0.09,0.1,258,2,99
50,0.16,0.01,792,4,1
51,0.14,0.02,619,4,3
52,0.14,0.03,507,4,5
53,0.13,0.03,450,4,7
54,0.13,0.04,397,4,9
55,0.12,0.04,379,4,11
56,0.11,0.05,339,4,13
57,0.11,0.06,316,4,15
58,0.11,0.06,288,4,17
59,0.11,0.07,259,4,19
60,0.11,0.08,243,4,21
61,0.1,0.08,229,4,23
62,0.1,0.09,216,4,25
63,0.1,0.09,203,4,27
64,0.1,0.1,187,4,29
65,0.1,0.1,178,4,31
66,0.1,0.11,165,4,33
67,0.1,0.11,154,4,35
68,0.1,0.12,147,4,37
69,0.1,0.12,143,4,39
70,0.09,0.13,140,4,41
71,0.09,0.13,139,4,43
72,0.09,0.13,139,4,45
73,0.09,0.14,134,4,47
74,0.09,0.14,134,4,49
75,0.09,0.15,125,4,51
76,0.09,0.15,124,4,53
77,0.09,0.15,125,4,55
78,0.09,0.16,120,4,57
79,0.09,0.16,125,4,59
80,0.09,0.16,121,4,61
81,0.09,0.17,117,4,63
82,0.09,0.17,115,4,65
83,0.09,0.17,109,4,67
84,0.09,0.18,109,4,69
85,0.09,0.18,101,4,71
86,0.09,0.18,103,4,73
87,0.09,0.18,100,4,75
88,0.09,0.19,102,4,77
89,0.09,0.19,100,4,79
90,0.08,0.19,101,4,81
91,0.08,0.2,102,4,83
92,0.09,0.2,100,4,85
93,0.08,0.2,93,4,87
94,0.09,0.2,96,4,89
95,0.08,0.2,91,4,91
96,0.09,0.2,92,4,93
97,0.09,0.21,89,4,95
98,0.09,0.21,82,4,97
99,0.08,0.21,85,4,99
100,0.18,0.01,771,6,1
101,0.18,0.02,562,6,3
102,0.16,0.03,467,6,5
103,0.15,0.04,407,6,7
104,0.14,0.04,367,6,9
105,0.14,0.05,321,6,11
106,0.13,0.06,294,6,13
107,0.13,0.07,268,6,15
108,0.12,0.07,250,6,17
109,0.12,0.08,224,6,19
110,0.12,0.08,210,6,21
111,0.12,0.09,193,6,23
112,0.11,0.1,184,6,25
113,0.11,0.1,179,6,27
114,0.11,0.11,170,6,29
115,0.11,0.11,160,6,31
116,0.11,0.12,151,6,33
117,0.11,0.12,143,6,35
118,0.1,0.13,137,6,37
119,0.1,0.13,134,6,39
120,0.1,0.14,131,6,41
121,0.1,0.14,121,6,43
122,0.1,0.15,113,6,45
123,0.1,0.15,111,6,47
124,0.1,0.16,108,6,49
125,0.1,0.16,101,6,51
126,0.09,0.16,97,6,53
127,0.09,0.17,94,6,55
128,0.09,0.17,89,6,57
129,0.09,0.18,89,6,59
130,0.09,0.18,87,6,61
131,0.09,0.18,83,6,63
132,0.09,0.19,77,6,65
133,0.09,0.19,76,6,67
134,0.09,0.2,71,6,69
135,0.09,0.2,67,6,71
136,0.09,0.2,66,6,73
137,0.09,0.21,64,6,75
138,0.09,0.21,64,6,77
139,0.09,0.22,63,6,79
140,0.08,0.22,63,6,81
141,0.08,0.22,61,6,83
142,0.08,0.23,60,6,85
143,0.08,0.23,57,6,87
144,0.08,0.23,59,6,89
145,0.08,0.24,56,6,91
146,0.08,0.24,58,6,93
147,0.08,0.25,52,6,95
148,0.08,0.25,49,6,97
149,0.08,0.25,50,6,99
150,0.18,0.01,774,8,1
151,0.17,0.02,576,8,3
152,0.17,0.03,462,8,5
153,0.16,0.04,399,8,7
154,0.15,0.05,355,8,9
155,0.15,0.06,311,8,11
156,0.14,0.06,271,8,13
157,0.14,0.07,247,8,15
158,0.13,0.08,224,8,17
159,0.13,0.09,210,8,19
160,0.13,0.09,198,8,21
161,0.13,0.1,184,8,23
162,0.12,0.1,175,8,25
163,0.12,0.11,168,8,27
164,0.12,0.12,153,8,29
165,0.12,0.12,138,8,31
166,0.12,0.13,130,8,33
167,0.11,0.13,126,8,35
168,0.11,0.14,118,8,37
169,0.11,0.14,115,8,39
170,0.11,0.15,112,8,41
171,0.11,0.15,110,8,43
172,0.11,0.16,107,8,45
173,0.1,0.16,98,8,47
174,0.1,0.17,97,8,49
175,0.1,0.17,92,8,51
176,0.1,0.17,88,8,53
177,0.1,0.18,85,8,55
178,0.1,0.18,81,8,57
179,0.1,0.19,79,8,59
180,0.1,0.19,77,8,61
181,0.1,0.2,74,8,63
182,0.1,0.2,70,8,65
183,0.09,0.2,68,8,67
184,0.09,0.21,66,8,69
185,0.09,0.21,64,8,71
186,0.09,0.22,64,8,73
187,0.09,0.22,63,8,75
188,0.09,0.22,61,8,77
189,0.09,0.23,61,8,79
190,0.09,0.23,60,8,81
